Gene_stable_ID	Gene_name	Gene_description
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	secreted ookinete protein%2C putative
PRELSG_09_v1	""	tRNA Leucine
PRELSG_00_v1_archived_contig_114	""	reticulocyte binding protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	2-C-methyl--erythritol 4-phosphate cytidylyltransferase%2C putative
PRELSG_14_v1	""	tRNA Glutamine
PRELSG_12_v1	""	inorganic anion exchanger%2C inorganic anion antiporter%2C putative
PRELSG_12_v1	""	U3 small nucleolar RNA-associated protein 4%2C putative
PRELSG_14_v1	""	glycerol-3-phosphate 1-O-acyltransferase%2C putative
PRELSG_07_v1	""	CS domain protein%2C putative
PRELSG_05_v1	""	eukaryotic translation initiation factor 3 subunit M%2C putative
PRELSG_10_v1	""	structural maintenance of chromosomes protein 4%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	parasitophorous vacuolar protein 1%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	serine/threonine protein phosphatase 5%2C putative
PRELSG_09_v1	""	myosin light chain B%2C putative
PRELSG_00_v1_archived_contig_65	""	fam-h protein
PRELSG_14_v1	""	protein SOC2%2C putative
PRELSG_07_v1	""	diacylglycerol kinase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	zinc finger protein%2C putative
PRELSG_11_v1	""	NA repair protein RA50%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	thioredoxin-like protein 1%2C putative
PRELSG_14_v1	""	translocation protein SEC63%2C putative
PRELSG_02_v1	""	hypothetical protein
PRELSG_11_v1	""	protein kinase PK4%2C putative
PRELSG_07_v1	""	GTP-binding protein%2C putative
PRELSG_13_v1	""	RNA-binding protein%2C putative
PRELSG_10_v1	""	BolA-like protein%2C putative
PRELSG_09_v1	""	rhomboid protease ROM1%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	NA primase small subunit
PRELSG_05_v1	""	eukaryotic translation initiation factor 3 subunit G%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	RAP protein%2C putative
PRELSG_09_v1	""	actin-like protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	RNA pseudouridylate synthase%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	dihydrouridine synthase%2C putative
PRELSG_AP_v1	""	apicoplast ribosomal protein S11%2C putative
PRELSG_11_v1	""	60S ribosomal protein L27a%2C putative
PRELSG_08_v1	""	AP-5 complex subunit sigma-1%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ankyrin-repeat protein%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_02_v1	""	hypothetical protein
PRELSG_09_v1	""	cysteine proteinase%2C putative
PRELSG_13_v1	""	actin %2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	mitochondrial ribosomal protein L28 precursor%2C putative
PRELSG_12_v1	""	acid cluster protein 33 homologue%2C putative
PRELSG_02_v1	""	StAR-related lipid transfer protein%2C putative
PRELSG_08_v1	""	enolase%2C putative
PRELSG_07_v1	""	W repeat-containing protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_AP_v1	""	apicoplast ribosomal protein L6%2C putative
PRELSG_09_v1	""	AAA family ATPase%2C putative
PRELSG_13_v1	""	glycine--tRNA ligase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_AP_v1	""	tRNA Cysteine
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	ATP-dependent Clp protease proteolytic subunit%2C putative
PRELSG_05_v1	""	RNA-binding protein%2C putative
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	phosphatidylinositol-4-phosphate 5-kinase%2C putative
PRELSG_10_v1	""	orotate phosphoribosyltransferase%2C putative
PRELSG_13_v1	""	zinc finger protein%2C putative
PRELSG_13_v1	""	5S ribosomal RNA
PRELSG_12_v1	""	cytoplasmic tRNA 2-thiolation protein 2%2C putative
PRELSG_10_v1	""	protein Mpv17%2C putative
PRELSG_12_v1	""	mitochondrial intermediate peptidase%2C putative
PRELSG_11_v1	""	exosome complex component RRP45%2C putative
PRELSG_09_v1	""	phosphatidylinositol-4-phosphate 5-kinase%2C putative
PRELSG_12_v1	""	kelch protein K13%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_328	""	surface-associated interspersed protein (SURFN)
PRELSG_09_v1	""	pyridoxine biosynthesis protein PX2%2C putative
PRELSG_13_v1	""	ATP-dependent protease%2C putative
PRELSG_13_v1	""	leucine-zipper-like transcriptional regulator 1%2C putative
PRELSG_AP_v1	""	chaperone protein ClpM%2C putative
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	calmodulin%2C putative
PRELSG_07_v1	""	replication termination factor%2C putative
PRELSG_05_v1	""	histone acetyltransferase GCN5%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	cytochrome c%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	tRNA Threonine
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_58	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	glutamyl-tRNA(Gln) amidotransferase subunit B%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	transcription factor%2C putative
PRELSG_05_v1	""	nuclear cap-binding protein subunit 2%2C putative
PRELSG_08_v1	""	E3 ubiquitin-protein ligase RBX1%2C putative
PRELSG_10_v1	""	tRNA pseudouridine synthase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_95	""	small nucleolar RNA snoR14
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	GrpE protein homolog%2C mitochondrial%2C putative
PRELSG_00_v1_archived_contig_146	""	gamete antigen 27/25%2C putative
PRELSG_10_v1	""	carbon catabolite repressor protein 4%2C putative
PRELSG_09_v1	""	ras-related protein Rab-6%2C putative
PRELSG_00_v1_archived_contig_174	""	early transcribed membrane protein
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	vacuolar protein sorting-associated protein 52%2C putative
PRELSG_11_v1	""	serine/threonine protein kinase%2C putative
PRELSG_05_v1	""	trafficking protein particle complex subunit 2-like protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	inner membrane complex protein 1g%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	choline-phosphate cytidylyltransferase%2C putative
PRELSG_10_v1	""	deoxyribodipyrimidine photo-lyase%2C putative
PRELSG_11_v1	""	acetyl-CoA synthetase%2C putative
PRELSG_04_v1	""	cdc2-related protein kinase 4%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	autophagy-related protein 12%2C putative
PRELSG_12_v1	""	exosome complex exonuclease RRP6%2C putative
PRELSG_09_v1	""	kinesin-like protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	tetratricopeptide repeat protein%2C putative
PRELSG_10_v1	""	translation initiation factor F-2%2C putative
PRELSG_08_v1	""	P-type ATPase%2C putative
PRELSG_13_v1	""	metacaspase-3%2C putative
PRELSG_05_v1	""	cdc2-related protein kinase 1%2C putative
PRELSG_08_v1	""	U4 spliceosomal RNA
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	GTP-binding protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_13_v1	""	cysteine protease ATG4%2C putative
PRELSG_12_v1	""	E3 SUMO-protein ligase NSE2%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	NA gyrase subunit A%2C putative
PRELSG_05_v1	""	ubiquitin carboxyl-terminal hydrolase 13%2C putative
PRELSG_12_v1	""	thrombospondin-related anonymous protein%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	60S ribosomal protein L31%2C putative
PRELSG_09_v1	""	T-complex protein 1 subunit alpha%2C putative
PRELSG_09_v1	""	translation initiation factor eF-1A%2C putative
PRELSG_01_v1	""	serine protease egP%2C putative
PRELSG_00_v1_archived_contig_22	""	fam-h protein
PRELSG_06_v1	""	phosphomannomutase%2C putative
PRELSG_07_v1	""	ATP-dependent RNA helicase X60%2C putative
PRELSG_08_v1	""	cytochrome b-c1 complex subunit 7%2C putative
PRELSG_07_v1	""	transcription initiation factor TF subunit 7%2C putative
PRELSG_14_v1	""	TBC domain-containing protein%2C putative
PRELSG_09_v1	""	NA-directed RNA polymerases  and  subunit RPAC1%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	hypothetical protein
PRELSG_14_v1	""	AP2 domain transcription factor AP2-G%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	dolichyl-phosphate-mannose--protein mannosyltransferase%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	ethanolamine kinase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	CPW-WPC family protein
PRELSG_13_v1	""	proliferation-associated protein 2g4%2C putative
PRELSG_00_v1_archived_contig_119	""	hypothetical protein
PRELSG_02_v1	""	secreted ookinete protein%2C putative
PRELSG_13_v1	""	ribosomal protein S27a%2C putative
PRELSG_10_v1	""	MORN repeat protein%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	RNA polymerase %2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	NA polymerase alpha catalytic subunit A%2C putative
PRELSG_13_v1	""	ribonuclease H2 subunit B%2C putative
PRELSG_01_v1	""	tRNA Lysine
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	pre-mRNA-splicing factor CWC22%2C putative
PRELSG_13_v1	""	dynein-related AAA-type ATPase%2C putative
PRELSG_06_v1	""	RNA-binding protein 34%2C putative
PRELSG_00_v1_archived_contig_66	""	fam-h protein
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	partial CSTF domain-containing protein%2C putative
PRELSG_08_v1	""	PRE-binding protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_14_v1	""	mitochondrial ribosomal protein S35 precursor%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	U6 snRNA-associated Sm-like protein LSm6%2C putative
PRELSG_00_v1_archived_contig_433	""	fam-h protein
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	kelch protein K10%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_158	""	Plasmodium exported protein (PHST)%2C unknown function
PRELSG_02_v1	""	N-acetyltransferase%2C GNAT family%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	phospholipase A2%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	GTPase-activating protein%2C putative
PRELSG_09_v1	""	myosin K%2C putative
PRELSG_08_v1	""	FA synthetase%2C putative
PRELSG_07_v1	""	protein MAM3%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	rhomboid protease ROM3%2C putative
PRELSG_14_v1	""	CCAAT-binding transcription factor%2C putative
PRELSG_01_v1	""	YEATS domain-containing protein%2C putative
PRELSG_13_v1	""	exonuclease%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_402	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_12_v1	""	elongation factor 2%2C putative
PRELSG_11_v1	""	inner membrane complex protein 1j%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	50S ribosomal protein L22%2C apicoplast%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	small nucleolar RNA snoR05
PRELSG_14_v1	""	cAMP-dependent protein kinase regulatory subunit%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	3'exoribonuclease%2C putative
PRELSG_07_v1	""	patatin-like phospholipase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_337	""	Plasmodium exported protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_179	""	Plasmodium exported protein%2C unknown function
PRELSG_14_v1	""	translation initiation factor SU1%2C putative
PRELSG_03_v1	""	SET domain protein%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	cytochrome c oxidase subunit 2%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	CGSH iron-sulfur domain-containing protein%2C putative
PRELSG_11_v1	""	conserved protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	merozoite surface protein 10%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_445	""	fam-h protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	NA topoisomerase 3%2C putative
PRELSG_05_v1	""	steroid dehydrogenase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	dynein beta chain%2C putative
PRELSG_09_v1	""	conserved protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	heat shock protein 90%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	aspartate carbamoyltransferase%2C putative
PRELSG_14_v1	""	ATP-dependent zinc metalloprotease FTSH 1%2C putative
PRELSG_05_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_05_v1	""	calmodulin-like protein
PRELSG_14_v1	""	meiosis-specific nuclear structural protein 1%2C putative
PRELSG_11_v1	""	6-pyruvoyltetrahydropterin synthase%2C putative
PRELSG_11_v1	""	mitochondrial cardiolipin synthase%2C putative
PRELSG_11_v1	""	G-protein associated signal transduction protein%2C putative
PRELSG_10_v1	""	dynein light chain Tctex-type%2C putative
PRELSG_08_v1	""	transcriptional coactivator AA2%2C putative
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	serine/arginine-rich splicing factor 4%2C putative
PRELSG_00_v1_archived_contig_6	""	surface-associated interspersed protein (SURFN)
PRELSG_01_v1	""	NA-directed RNA polymerases %2C %2C and  subunit RPABC5%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	ribosomal protein S8e%2C putative
PRELSG_07_v1	""	major facilitator superfamily domain-containing protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	glutaminyl-peptide cyclotransferase%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	acetyl-CoA carboxylase%2C putative
PRELSG_11_v1	""	6-cysteine protein
PRELSG_00_v1_archived_contig_33	""	fam-h protein
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	U4/U6.U5 tri-snRNP-associated protein 1%2C putative
PRELSG_11_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_12_v1	""	60S ribosomal protein L1%2C putative
PRELSG_12_v1	""	mitochondrial ribosomal protein S29 precursor%2C putative
PRELSG_11_v1	""	metacaspase-1%2C putative
PRELSG_00_v1_archived_contig_8	""	fam-h protein
PRELSG_05_v1	""	EF-hand calcium-binding domain-containing protein%2C putative
PRELSG_02_v1	""	40S ribosomal protein S10%2C putative
PRELSG_00_v1_archived_contig_5	""	hypothetical protein
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	protein SYS1%2C putative
PRELSG_10_v1	""	zinc finger protein%2C putative
PRELSG_08_v1	""	translation machinery-associated protein 7%2C putative
PRELSG_11_v1	""	bifunctional polynucleotide phosphatase/kinase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	4-nitrophenylphosphatase%2C putative
PRELSG_13_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_AP_v1	""	tRNA Asparagine
PRELSG_04_v1	""	pantothenate transporter%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	alpha tubulin 2%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	receptor for activated c kinase%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	AP-ribosylation factor GTPase-activating protein%2C putative
PRELSG_14_v1	""	superoxide dismutase [Fe]%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_147	""	hypothetical protein
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ATP-dependent RNA helicase BP4%2C putative
PRELSG_08_v1	""	inner membrane complex protein 1e%2C putative
PRELSG_09_v1	""	coatomer subunit delta%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	citrate synthase-like protein%2C putative
PRELSG_AP_v1	""	50S ribosomal protein L4%2C putative
PRELSG_11_v1	""	calcium-binding protein%2C putative
PRELSG_06_v1	""	N-acetyltransferase%2C GNAT family%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	telomerase reverse transcriptase%2C putative
PRELSG_08_v1	""	T-complex protein 1 subunit epsilon%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	V-type K+-independent H+-translocating inorganic pyrophosphatase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	MORN repeat protein%2C putative
PRELSG_08_v1	""	protein transport protein SEC22%2C putative
PRELSG_04_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_09_v1	""	alpha/beta hydrolase%2C putative
PRELSG_12_v1	""	spindle assembly abnormal protein 4%2C putative
PRELSG_12_v1	""	W repeat-containing protein 16%2C putative
PRELSG_11_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_121	""	merozoite surface protein 3%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	MSP3-like protein
PRELSG_14_v1	""	pre-mRNA-splicing factor CWC26%2C putative
PRELSG_14_v1	""	sphingomyelin phosphodiesterase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	SNF2 helicase%2C putative
PRELSG_13_v1	""	mitogen-activated protein kinase 1%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	RAP protein%2C putative
PRELSG_11_v1	""	TRAP-like protein%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	glutamate--tRNA ligase%2C putative
PRELSG_11_v1	""	endonuclease  homologue%2C putative
PRELSG_12_v1	""	cytochrome c oxidase assembly protein COX11%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	hemolysin %2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_95	""	mitochondrial import inner membrane translocase subunit TM9%2C putative
PRELSG_09_v1	""	RAP protein%2C putative
PRELSG_00_v1_archived_contig_229	""	tRNA delta(2)-isopentenylpyrophosphate transferase%2C putative
PRELSG_05_v1	""	arsenical pump-driving ATPase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	dihydrolipoamide acyltransferase component E2%2C putative
PRELSG_06_v1	""	pyruvate kinase 2%2C putative
PRELSG_09_v1	""	haloacid dehalogenase-like hydrolase%2C putative
PRELSG_00_v1_archived_contig_432	""	hypothetical protein
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	rhoptry associated adhesin%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_00_v1_archived_contig_112	""	Plasmodium exported protein%2C unknown function
PRELSG_03_v1	""	proteasome assembly chaperone 4%2C putative
PRELSG_00_v1_archived_contig_29	""	Plasmodium exported protein%2C unknown function
PRELSG_13_v1	""	O-phosphoseryl-tRNA(Sec) selenium transferase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_11	""	Plasmodium exported protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	T-complex protein 1 subunit zeta%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	3-demethylubiquinone-9 3-methyltransferase%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	protein S11%2C putative
PRELSG_05_v1	""	polyribonucleotide 5'-hydroxyl-kinase Clp1%2C putative
PRELSG_14_v1	""	vacuolar iron transporter%2C putative
PRELSG_01_v1	""	nucleolar protein 10%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	adaptor complexes medium subunit family
PRELSG_12_v1	""	RNA-binding protein%2C putative
PRELSG_08_v1	""	60S ribosomal protein L44%2C putative
PRELSG_13_v1	""	deoxyhypusine synthase%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_178	""	reticulocyte binding protein%2C putative
PRELSG_12_v1	""	tryptophan--tRNA ligase%2C putative
PRELSG_11_v1	""	Sas10 domain-containing protein%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_99_v2_archived_contig_19	""	fam-f protein
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	cell division cycle protein 20 homolog%2C putative
PRELSG_01_v1	""	origin recognition complex subunit 2%2C putative
PRELSG_12_v1	""	hypothetical protein
PRELSG_13_v1	""	autophagy protein 5%2C putative
PRELSG_07_v1	""	ras-related protein RAB7%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	dipeptidyl aminopeptidase 1%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	glycylpeptide N-tetradecanoyltransferase%2C putative
PRELSG_11_v1	""	lsm12%2C putative
PRELSG_11_v1	""	protein kinase 5%2C putative
